Gene,Non-unique Gene name,Annotation,L_plantarum,B_animalis,L_brevis
group_4997,,Transposase,,,PHDJFC_01792
group_4996,,Transposase,,,PHDJFC_01745
group_4995,,Integrase catalytic domain-containing protein,,,PHDJFC_01704
group_4994,,Transposase IS701-like DDE domain-containing protein,,,PHDJFC_01699
group_4993,,Transposase IS701-like DDE domain-containing protein,,,PHDJFC_01688
group_4992,,Putative transposase for insertion-like sequence element IS1161,,,PHDJFC_01599
group_4991,,Putative transposase for insertion-like sequence element IS1161,,,PHDJFC_01583
group_4990,,Integrase catalytic domain-containing protein,,,PHDJFC_01552
group_4989,,Transposase IS701-like DDE domain-containing protein,,,PHDJFC_01527
group_4988,,Putative transposase for insertion-like sequence element IS1161,,,PHDJFC_01517
group_4987,,Integrase catalytic domain-containing protein,,,PHDJFC_01437
group_4986,,Integrase catalytic domain-containing protein,,,PHDJFC_01436
group_4985,,Putative transposase for insertion-like sequence element IS1161,,,PHDJFC_01430
group_4984,,Transposase,,,PHDJFC_01424
group_4983,,IS982 family transposase,,,PHDJFC_01416
group_4982,,Integrase catalytic domain-containing protein,,,PHDJFC_01414
group_4981,,Integrase catalytic domain-containing protein,,,PHDJFC_01375
group_4980,,Transposase,,,PHDJFC_01337
group_4979,,Integrase catalytic domain-containing protein,,,PHDJFC_01162
group_4978,,transposase,,,PHDJFC_01160
group_4977,,Transposase,,,PHDJFC_01159
group_4976,,Integrase catalytic domain-containing protein,,,PHDJFC_01158
group_4975,,Putative transposase for insertion-like sequence element IS1161,,,PHDJFC_01118
group_4974,,Integrase catalytic domain-containing protein,,,PHDJFC_01107
group_4973,,Transposase,,,PHDJFC_01106
group_4972,,transposase,,,PHDJFC_01105
group_4971,,Transposase,,,PHDJFC_01020
group_4970,,Transposase IS701-like DDE domain-containing protein,,,PHDJFC_01009
group_4969,,Integrase catalytic domain-containing protein,,,PHDJFC_00938
group_4968,,hypothetical protein,,,PHDJFC_00929
group_4967,,Putative transposase for insertion-like sequence element IS1161,,,PHDJFC_00861
group_4966,tnp,IS30 family ISLsa1 transposase,,,PHDJFC_00756
group_4965,,Transposase IS701-like DDE domain-containing protein,,,PHDJFC_00751
group_4964,,Transposase IS30 family,,,PHDJFC_00707
group_4963,,hypothetical protein,,,PHDJFC_00663
group_4962,,Transposase,,,PHDJFC_00503
group_4961,,Integrase catalytic domain-containing protein,,,PHDJFC_00406
group_4960,,Transposase,,,PHDJFC_00380
group_4959,,Transposase IS701-like DDE domain-containing protein,,,PHDJFC_00379
group_4958,,Transposase IS701-like DDE domain-containing protein,,,PHDJFC_00286
group_4957,,Transposase IS701-like DDE domain-containing protein,,,PHDJFC_00220
group_4956,tnp,IS1182 family ISP2 transposase,,IGABOM_03171,
group_4955,,hypothetical protein,,IGABOM_02825,
group_4954,,hypothetical protein,,IGABOM_02724,
group_4953,,Prophage protein,,IGABOM_02090,
group_4952,,Transcriptional regulator,,IGABOM_02068,
group_4951,tnp,IS1182 family ISP2 transposase,,IGABOM_01811,
group_4950,tnp,IS1182 family ISP2 transposase,,IGABOM_01191,
group_4949,,Integrase catalytic domain-containing protein,,IGABOM_01132,
group_4948,tnp,IS1182 family ISP2 transposase,,IGABOM_00636,
group_4947,,Transcriptional regulator,,IGABOM_00537,
group_4946,,Prophage protein,,IGABOM_00506,
group_4945,,Transposase,JLGHJK_03560,,
group_4944,,Integrase catalytic domain-containing protein,JLGHJK_03429,,
group_4943,tnp,IS3 family IS153 transposase ORF A,JLGHJK_03428,,
group_4942,,Universal stress protein,JLGHJK_03417,,
group_4941,mntH,Divalent metal cation transporter MntH,JLGHJK_03416,,
group_4940,tnp,IS256 family IS1310 transposase,JLGHJK_03414,,
group_4939,,hypothetical protein,JLGHJK_03389,,
group_4938,,hypothetical protein,JLGHJK_03386,,
group_4937,,Integrase catalytic domain-containing protein,JLGHJK_03368,,
group_4936,tnp,IS256 family IS1310 transposase,JLGHJK_03367,,
group_4935,,Transposase,JLGHJK_03295,,
group_4934,,Integrase catalytic domain-containing protein,JLGHJK_03248,,
group_4933,tnp,IS256 family IS1310 transposase,JLGHJK_03207,,
group_4932,,Integrase catalytic domain-containing protein,JLGHJK_03188,,
group_4931,,TnpB-IS1077-like,JLGHJK_03187,,
group_4930,tnp,IS256 family IS1310 transposase,JLGHJK_03112,,
group_4929,tnp,IS1182 family ISP2 transposase,JLGHJK_03109,,
group_4928,,Transposase,JLGHJK_03107,,
group_4927,,Integrase catalytic domain-containing protein,JLGHJK_03039,,
group_4926,,TnpB-IS1077-like,JLGHJK_03038,,
group_4925,,Transposase,JLGHJK_03014,,
group_4924,tnp,IS30 family ISLpl1 transposase,JLGHJK_02956,,
group_4923,,Integrase catalytic domain-containing protein,JLGHJK_02950,,
group_4922,,TnpB-IS1077-like,JLGHJK_02949,,
group_4921,,TnpB-IS1077-like,JLGHJK_02852,,
group_4920,,Integrase catalytic domain-containing protein,JLGHJK_02851,,
group_4919,,TnpB-IS1077-like,JLGHJK_02728,,
group_4918,,Integrase catalytic domain-containing protein,JLGHJK_02727,,
group_4917,tnp,IS256 family IS1310 transposase,JLGHJK_02583,,
group_4916,,Prophage Lp2 protein 24,JLGHJK_02483,,
group_4915,tnp,IS30 family ISLpl1 transposase,JLGHJK_02408,,
group_4914,tnp,IS256 family IS1310 transposase,JLGHJK_02360,,
group_4913,,Transposase,JLGHJK_02217,,
group_4912,,Transposase,JLGHJK_02216,,
group_4911,,Transposase IS4-like domain-containing protein,JLGHJK_02205,,
group_4910,,hypothetical protein,JLGHJK_02204,,
group_4909,tnp,IS982 family ISLpl4 transposase,JLGHJK_02145,,
group_4908,tnp,IS30 family ISLpl1 transposase,JLGHJK_02144,,
group_4907,,Integrase catalytic domain-containing protein,JLGHJK_02100,,
group_4906,,Mutator family transposase,JLGHJK_02080,,
group_4905,,Mutator family transposase,JLGHJK_02079,,
group_4904,,Integrase catalytic domain-containing protein,JLGHJK_02073,,
group_4903,tnp,IS256 family IS1310 transposase,JLGHJK_01924,,
group_4902,tnp,IS982 family ISLpl4 transposase,JLGHJK_01805,,
group_4901,,hypothetical protein,JLGHJK_01758,,
group_4900,,Integrase catalytic domain-containing protein,JLGHJK_01732,,
group_4899,,Transposase,JLGHJK_01597,,
group_4898,,Transposase,JLGHJK_01596,,
group_4897,,Integrase catalytic domain-containing protein,JLGHJK_01561,,
group_4896,,TnpB-IS1077-like,JLGHJK_01560,,
group_4895,,Transposase,JLGHJK_01546,,
group_4894,tnp,IS1182 family ISP2 transposase,JLGHJK_01436,,
group_4893,,Transposase,JLGHJK_01386,,
group_4892,,Transposase,JLGHJK_01385,,
group_4891,,TnpB-IS1077-like,JLGHJK_01375,,
group_4890,,Integrase catalytic domain-containing protein,JLGHJK_01374,,
group_4889,,Integrase catalytic domain-containing protein,JLGHJK_01358,,
group_4888,tnp,IS3 family IS1163 transposase ORF A,JLGHJK_01248,,
group_4887,,Transposase,JLGHJK_01247,,
group_4886,,Integrase catalytic domain-containing protein,JLGHJK_01243,,
group_4885,tnp,IS256 family IS1310 transposase,JLGHJK_01238,,
group_4884,tnp,IS982 family ISLpl4 transposase,JLGHJK_01209,,
group_4883,,Integrase catalytic domain-containing protein,JLGHJK_01162,,
group_4882,,TnpB-IS1077-like,JLGHJK_01135,,
group_4881,,TnpB-IS1077-like,JLGHJK_01068,,
group_4880,,Integrase catalytic domain-containing protein,JLGHJK_01067,,
group_4879,,Transposase IS4-like domain-containing protein,JLGHJK_00976,,
group_4878,,hypothetical protein,JLGHJK_00975,,
group_4877,tnp,IS256 family IS1310 transposase,JLGHJK_00958,,
group_4876,,TnpB-IS1077-like,JLGHJK_00920,,
group_4875,,Integrase catalytic domain-containing protein,JLGHJK_00919,,
group_4874,tnp,IS3 family IS1163 transposase ORF A,JLGHJK_00893,,
group_4873,,Transposase,JLGHJK_00892,,
group_4872,tnp,IS30 family ISLpl1 transposase,JLGHJK_00886,,
group_4871,tnp,IS30 family ISLpl1 transposase,JLGHJK_00870,,
group_4870,,Transposase,JLGHJK_00858,,
group_4869,,hypothetical protein,JLGHJK_00854,,
group_4868,tnp,IS30 family ISLpl1 transposase,JLGHJK_00835,,
group_4867,,Integrase catalytic domain-containing protein,JLGHJK_00811,,
group_4866,,Transposase,JLGHJK_00789,,
group_4865,tnp,IS30 family ISLpl1 transposase,JLGHJK_00764,,
group_4864,,Mutator family transposase,JLGHJK_00725,,
group_4863,,Mutator family transposase,JLGHJK_00724,,
group_4862,,TnpB-IS1077-like,JLGHJK_00723,,
group_4861,tnp,IS30 family ISLpl1 transposase,JLGHJK_00706,,
group_4860,tnp,IS30 family ISLpl1 transposase,JLGHJK_00590,,
group_4859,tnp,IS30 family ISLpl1 transposase,JLGHJK_00587,,
group_4858,,Mutator family transposase,JLGHJK_00533,,
group_4857,,Mutator family transposase,JLGHJK_00532,,
group_4856,,Mutator family transposase,JLGHJK_00513,,
group_4855,,Mutator family transposase,JLGHJK_00512,,
group_4854,tnp,IS30 family ISLpl1 transposase,JLGHJK_00510,,
group_4853,tnp,IS3 family IS153 transposase ORF A,JLGHJK_00494,,
group_4852,,Insertion element IS402-like domain-containing protein,JLGHJK_00451,,
group_4851,,Transposase IS4-like domain-containing protein,JLGHJK_00450,,
group_4850,,Transposase IS4-like domain-containing protein,JLGHJK_00446,,
group_4849,,Insertion element IS402-like domain-containing protein,JLGHJK_00445,,
group_4848,tnp,IS256 family IS1310 transposase,JLGHJK_00403,,
group_4847,tnp,IS256 family IS1310 transposase,JLGHJK_00389,,
group_4846,,Integrase catalytic domain-containing protein,JLGHJK_00370,,
group_4845,,Transposase,JLGHJK_00362,,
group_4844,,Integrase catalytic domain-containing protein,JLGHJK_00332,,
group_4843,,TnpB-IS1077-like,JLGHJK_00331,,
group_4842,,Transposase,JLGHJK_00292,,
group_4841,,Transposase,JLGHJK_00291,,
group_4840,tnp,IS256 family IS1310 transposase,JLGHJK_00275,,
group_4839,,Integrase catalytic domain-containing protein,JLGHJK_00184,,
group_4838,,TnpB-IS1077-like,JLGHJK_00183,,
group_4837,tnp,IS256 family IS1310 transposase,JLGHJK_00172,,
group_4836,tnp,IS256 family IS1310 transposase,JLGHJK_00156,,
group_4835,tnp,IS256 family IS1310 transposase,JLGHJK_00096,,
group_4834,,Integrase catalytic domain-containing protein,JLGHJK_00076,,
group_4833,,Integrase catalytic domain-containing protein,JLGHJK_00058,,
group_4832,,Integrase catalytic domain-containing protein,JLGHJK_00043,,
group_4831,,Mutator family transposase,JLGHJK_00030,,
group_4830,,hypothetical protein,,,PHDJFC_02355
group_4829,,hypothetical protein,,,PHDJFC_01966
group_4828,,hypothetical protein,,,PHDJFC_01280
group_4827,,hypothetical protein,,,PHDJFC_00594
group_4826,,hypothetical protein,JLGHJK_00555,,
group_4825,,hypothetical protein,,,PHDJFC_02177
group_4824,,hypothetical protein,,,PHDJFC_02133
group_4823,,hypothetical protein,,,PHDJFC_01842
group_4822,,hypothetical protein,,,PHDJFC_01143
group_4821,,hypothetical protein,,IGABOM_00254,
group_4819,,hypothetical protein,,,PHDJFC_02148
group_4818,,hypothetical protein,,,PHDJFC_01124
group_4817,,hypothetical protein,,,PHDJFC_00132
group_4816,,hypothetical protein,JLGHJK_03375,,
group_4814,,hypothetical protein,,,PHDJFC_02707
group_4812,,hypothetical protein,,,PHDJFC_01163
group_4811,,hypothetical protein,,,PHDJFC_01898
group_4810,,hypothetical protein,,,PHDJFC_01380
group_4809,,hypothetical protein,,IGABOM_00536,
group_4808,,hypothetical protein,,IGABOM_00416,
group_4806,,hypothetical protein,,,PHDJFC_01327
group_4805,,hypothetical protein,,,PHDJFC_01022
group_4804,,hypothetical protein,,,PHDJFC_00699
group_4803,,hypothetical protein,,,PHDJFC_00608
group_4802,,hypothetical protein,,IGABOM_00532,
group_4801,,hypothetical protein,JLGHJK_02944,,
group_4799,,hypothetical protein,,,PHDJFC_02662
group_4798,,hypothetical protein,,IGABOM_02109,
group_4797,,hypothetical protein,,IGABOM_01739,
group_4796,,hypothetical protein,,IGABOM_00428,
group_4793,,hypothetical protein,,IGABOM_02791,
group_4792,,hypothetical protein,,,PHDJFC_02441
group_4791,,hypothetical protein,,,PHDJFC_02408
group_4790,,hypothetical protein,,,PHDJFC_01983
group_4789,,hypothetical protein,,,PHDJFC_00622
group_4788,,hypothetical protein,,IGABOM_01503,
group_4787,,hypothetical protein,JLGHJK_00364,,
group_4786,,hypothetical protein,,,PHDJFC_00843
group_4783,,hypothetical protein,JLGHJK_01897,,
group_4782,,hypothetical protein,,,PHDJFC_02641
group_4781,,DUF4044 domain-containing protein,,,PHDJFC_02474
group_4780,,30S ribosomal protein S21,,,PHDJFC_00646
group_4779,,hypothetical protein,,,PHDJFC_00176
group_4777,,hypothetical protein,,,PHDJFC_00205
group_4776,,hypothetical protein,,IGABOM_02092,
group_4775,,hypothetical protein,,IGABOM_00504,
group_4772,,hypothetical protein,,,PHDJFC_00691
group_4771,,hypothetical protein,,,PHDJFC_00433
group_4770,,hypothetical protein,,IGABOM_02080,
group_4769,,hypothetical protein,,IGABOM_00520,
group_4768,,hypothetical protein,JLGHJK_02865,,
group_4767,,hypothetical protein,JLGHJK_01361,,
group_4763,,hypothetical protein,,,PHDJFC_02692
group_4762,,hypothetical protein,,,PHDJFC_02161
group_4761,,hypothetical protein,,,PHDJFC_01978
group_4760,,hypothetical protein,,,PHDJFC_01679
group_4759,,hypothetical protein,,IGABOM_02135,
group_4758,,hypothetical protein,,IGABOM_02072,
group_4757,,hypothetical protein,,IGABOM_00530,
group_4756,,hypothetical protein,JLGHJK_03408,,
group_4751,,hypothetical protein,JLGHJK_02081,,
group_4750,,Large ribosomal subunit protein bL34,,,PHDJFC_01476
group_4749,,hypothetical protein,,,PHDJFC_01084
group_4748,,hypothetical protein,,,PHDJFC_00295
group_4747,,hypothetical protein,,IGABOM_00516,
group_4745,,hypothetical protein,JLGHJK_00738,,
group_4743,,hypothetical protein,,,PHDJFC_02317
group_4742,,hypothetical protein,,IGABOM_01418,
group_4741,,hypothetical protein,,IGABOM_00583,
group_4739,,hypothetical protein,,,PHDJFC_02446
group_4738,,hypothetical protein,,,PHDJFC_01245
group_4737,,hypothetical protein,,,PHDJFC_00481
group_4736,,hypothetical protein,,,PHDJFC_00318
group_4734,,hypothetical protein,JLGHJK_03558,,
group_4733,,hypothetical protein,JLGHJK_02895,,
group_4732,,hypothetical protein,,,PHDJFC_01505
group_4731,,hypothetical protein,,,PHDJFC_01497
group_4730,,hypothetical protein,,IGABOM_02134,
group_4729,,hypothetical protein,JLGHJK_03370,,
group_4727,,hypothetical protein,JLGHJK_01368,,
group_4725,,hypothetical protein,,,PHDJFC_01769
group_4724,,hypothetical protein,,,PHDJFC_00118
group_4723,,hypothetical protein,,IGABOM_02684,
group_4722,,hypothetical protein,,IGABOM_01199,
group_4721,,hypothetical protein,,IGABOM_00265,
group_4720,,hypothetical protein,,IGABOM_00020,
group_4719,,hypothetical protein,JLGHJK_02492,,
group_4718,,hypothetical protein,JLGHJK_02479,,
group_4716,,D-Ala-teichoic acid biosynthesis protein,,,PHDJFC_02624
group_4715,,hypothetical protein,,,PHDJFC_01921
group_4714,,hypothetical protein,,,PHDJFC_00793
group_4713,,Large ribosomal subunit protein bL33C,,,PHDJFC_00763
group_4712,,Large ribosomal subunit protein bL33,,,PHDJFC_00324
group_4711,,hypothetical protein,,IGABOM_00541,
group_4710,,hypothetical protein,,IGABOM_00430,
group_4709,,hypothetical protein,JLGHJK_03543,,
group_4701,,hypothetical protein,,,PHDJFC_01588
group_4700,,LPXTG-motif protein cell wall anchor domain protein,,,PHDJFC_00502
group_4699,,hypothetical protein,,IGABOM_00945,
group_4698,,hypothetical protein,,IGABOM_00779,
plnR,plnR,PlnR,,IGABOM_00256,
group_4697,,Gram-positive signal peptide protein YSIRK family,JLGHJK_03427,,
group_4695,,hypothetical protein,JLGHJK_02448,,
group_4694,,hypothetical protein,,,PHDJFC_02140
group_4693,,hypothetical protein,,,PHDJFC_01586
group_4692,,hypothetical protein,,,PHDJFC_01508
group_4691,,hypothetical protein,,,PHDJFC_00892
group_4690,,hypothetical protein,JLGHJK_03430,,
group_4684,,TMhelix containing protein,,,PHDJFC_02640
group_4683,,hypothetical protein,,,PHDJFC_02509
group_4682,,hypothetical protein,,,PHDJFC_01912
group_4681,,hypothetical protein,,,PHDJFC_01600
group_4680,,Lmo0937 family membrane protein,,,PHDJFC_00471
group_4679,,hypothetical protein,,IGABOM_02035,
group_4678,,hypothetical protein,,,PHDJFC_02326
group_4677,,hypothetical protein,,,PHDJFC_01670
group_4676,,hypothetical protein,,,PHDJFC_01153
group_4675,,hypothetical protein,,,PHDJFC_01004
group_4674,,hypothetical protein,,,PHDJFC_00297
group_4673,,hypothetical protein,,,PHDJFC_00294
group_4672,,hypothetical protein,,,PHDJFC_00231
group_4670,,Prophage Lp1 protein 32,,IGABOM_02069,
group_4669,,hypothetical protein,JLGHJK_03369,,
group_4668,,hypothetical protein,JLGHJK_02485,,
group_4667,,Prophage protein,JLGHJK_02447,,
group_4665,,hypothetical protein,JLGHJK_00625,,
group_4664,,hypothetical protein,JLGHJK_00589,,
group_4663,,hypothetical protein,JLGHJK_00170,,
group_4662,,hypothetical protein,,,PHDJFC_02110
group_4661,,hypothetical protein,,,PHDJFC_01902
group_4660,,hypothetical protein,,IGABOM_02071,
group_4657,,Transposase,JLGHJK_02493,,
group_4656,,hypothetical protein,,,PHDJFC_01750
group_4655,,hypothetical protein,,,PHDJFC_01736
group_4654,,hypothetical protein,,,PHDJFC_01232
group_4653,,hypothetical protein,,IGABOM_02064,
group_4652,,hypothetical protein,,IGABOM_00261,
plnJ,plnJ,two-peptide bacteriocin plantaricin JK subunit PlnJ,,IGABOM_00259,
group_4650,,hypothetical protein,,,PHDJFC_02658
group_4649,,hypothetical protein,,,PHDJFC_02542
group_4648,,hypothetical protein,,,PHDJFC_02306
group_4647,,hypothetical protein,,,PHDJFC_02157
group_4646,,hypothetical protein,,,PHDJFC_00776
group_4645,,hypothetical protein,,IGABOM_00414,
group_4642,,hypothetical protein,JLGHJK_02472,,
group_4641,,hypothetical protein,JLGHJK_01242,,
xkdX,xkdX,XkdX family protein,,,PHDJFC_02695
group_4640,,hypothetical protein,,,PHDJFC_01945
group_4639,,hypothetical protein,,,PHDJFC_01942
group_4638,,hypothetical protein,,,PHDJFC_01701
group_4637,,hypothetical protein,,,PHDJFC_01015
group_4636,,hypothetical protein,,,PHDJFC_00625
group_4635,,hypothetical protein,,IGABOM_00498,
plnK,plnK,two-peptide bacteriocin plantaricin JK subunit PlnK,,IGABOM_00258,
group_4633,,hypothetical protein,,,PHDJFC_02708
group_4632,,hypothetical protein,,,PHDJFC_00944
group_4631,secE,Protein translocase subunit SecE,,,PHDJFC_00762
group_4630,,hypothetical protein,,,PHDJFC_00155
group_4629,,hypothetical protein,,IGABOM_02122,
group_4628,,Transposase,,IGABOM_02054,
group_4627,,Prophage P1 protein 57,,IGABOM_00562,
group_4626,,Glycyl-tRNA synthetase beta chain,,IGABOM_00412,
group_4623,,hypothetical protein,,,PHDJFC_01925
group_4622,,hypothetical protein,,,PHDJFC_01346
group_4621,,hypothetical protein,,,PHDJFC_01049
group_4620,,hypothetical protein,,,PHDJFC_00923
group_4619,,hypothetical protein,,,PHDJFC_00623
group_4618,,Helix-turn-helix domain-containing protein,,,PHDJFC_00595
group_4617,,HNH endonuclease,,IGABOM_00540,
group_4616,,hypothetical protein,JLGHJK_02383,,
group_4615,,hypothetical protein,,,PHDJFC_02711
group_4614,,hypothetical protein,,,PHDJFC_02015
group_4613,,hypothetical protein,,,PHDJFC_01948
group_4612,,DUF2273 domain-containing protein,,,PHDJFC_01837
group_4611,,hypothetical protein,,,PHDJFC_01296
group_4610,,hypothetical protein,,,PHDJFC_01274
group_4609,,Integral membrane protein,,,PHDJFC_01044
group_4608,,hypothetical protein,,,PHDJFC_00480
group_4607,,hypothetical protein,,,PHDJFC_00253
group_4606,,Sporulation protein Cse60,,IGABOM_02117,
group_4605,,hypothetical protein,,IGABOM_00533,
group_4604,,Prophage P1 protein 13,,IGABOM_00517,
group_4602,,Helix-turn-helix domain-containing protein,JLGHJK_02945,,
group_4601,,hypothetical protein,JLGHJK_02867,,
group_4600,,hypothetical protein,JLGHJK_02496,,
group_4597,,hypothetical protein,,,PHDJFC_02681
group_4596,,hypothetical protein,,,PHDJFC_02651
group_4595,,hypothetical protein,,,PHDJFC_02245
group_4594,,Small ribosomal subunit protein uS14,,,PHDJFC_02224
group_4593,,hypothetical protein,,,PHDJFC_01994
group_4592,,hypothetical protein,,,PHDJFC_00893
group_4591,,Large ribosomal subunit protein bL28,,,PHDJFC_00274
group_4590,,hypothetical protein,,IGABOM_00413,
group_4588,,hypothetical protein,JLGHJK_02481,,
group_4587,,hypothetical protein,JLGHJK_02455,,
group_4585,,hypothetical protein,JLGHJK_01727,,
group_4582,,Antitoxin,,,PHDJFC_02559
group_4581,,hypothetical protein,,,PHDJFC_02482
group_4580,,DUF3923 domain-containing protein,,,PHDJFC_02338
group_4579,,hypothetical protein,,,PHDJFC_02168
group_4578,,hypothetical protein,,,PHDJFC_01362
group_4577,,hypothetical protein,,,PHDJFC_01017
group_4576,,hypothetical protein,,,PHDJFC_00208
group_4575,,hypothetical protein,,IGABOM_02446,
plnQ,plnQ,Plantaricin biosynthesis protein PlnQ,,IGABOM_00264,
group_4574,,hypothetical protein,JLGHJK_03280,,
group_4573,,hypothetical protein,JLGHJK_02506,,
group_4571,,hypothetical protein,JLGHJK_01611,,
group_4569,,hypothetical protein,,,PHDJFC_02335
group_4568,,XRE family transcriptional regulator,,,PHDJFC_02041
group_4567,,hypothetical protein,,,PHDJFC_01702
group_4566,,Exosortase,,,PHDJFC_01597
group_4565,,hypothetical protein,,,PHDJFC_00370
group_4563,,Prophage protein,JLGHJK_02937,,
group_4560,,Aspartyl-phosphate phosphatase Spo0E family protein,,,PHDJFC_03032
group_4559,,Transposase,,,PHDJFC_02892
group_4558,,hypothetical protein,,,PHDJFC_02637
group_4557,,hypothetical protein,,,PHDJFC_02036
group_4556,,hypothetical protein,,,PHDJFC_01757
group_4555,,hypothetical protein,,,PHDJFC_01230
group_4554,,hypothetical protein,,,PHDJFC_01171
group_4553,,hypothetical protein,,,PHDJFC_00400
group_4552,,Large ribosomal subunit protein bL35,,,PHDJFC_00362
group_4551,,hypothetical protein,,,PHDJFC_00109
group_4550,,hypothetical protein,,IGABOM_02686,
group_4549,,Prophage P2a protein 10 phage transcription regulator Cro/CI family,,IGABOM_02084,
group_4548,,hypothetical protein,JLGHJK_03379,,
group_4547,,DUF1056 domain-containing protein,JLGHJK_02466,,
group_4543,,hypothetical protein,JLGHJK_01241,,
group_4540,,hypothetical protein,,,PHDJFC_03029
group_4539,,hypothetical protein,,,PHDJFC_02448
group_4538,,hypothetical protein,,,PHDJFC_02105
group_4537,,Integral membrane protein,,,PHDJFC_02088
group_4536,,hypothetical protein,,,PHDJFC_02065
group_4535,,hypothetical protein,,,PHDJFC_01122
group_4534,,Major facilitator superfamily (MFS) profile domain-containing protein,,,PHDJFC_00584
group_4533,,Prophage protein,JLGHJK_02899,,
group_4528,,hypothetical protein,,,PHDJFC_02467
group_4527,,Acetyltransferase,,,PHDJFC_02367
group_4526,,hypothetical protein,,,PHDJFC_02158
group_4525,,hypothetical protein,,,PHDJFC_01407
group_4524,,hypothetical protein,,,PHDJFC_01048
group_4523,,DUF2929 domain-containing protein,,,PHDJFC_01046
group_4522,,hypothetical protein,,,PHDJFC_00614
group_4521,,Major cold shock protein,,,PHDJFC_00579
group_4520,,hypothetical protein,,,PHDJFC_00138
group_4519,,hypothetical protein,,IGABOM_03003,
group_4518,,DUF2273 domain-containing protein,,IGABOM_00768,
group_4517,,Prophage P1 protein 12 phage transcription regulator,,IGABOM_00515,
group_4516,,hypothetical protein,,IGABOM_00260,
group_4508,,hypothetical protein,JLGHJK_00757,,
group_4506,,hypothetical protein,,,PHDJFC_02666
group_4505,,hypothetical protein,,,PHDJFC_02003
group_4504,,hypothetical protein,,,PHDJFC_01992
group_4503,,CSD domain-containing protein,,,PHDJFC_01919
group_4502,,DUF951 domain-containing protein,,,PHDJFC_01783
group_4501,,HTH cro/C1-type domain-containing protein,,,PHDJFC_01557
group_4500,,HTH cro/C1-type domain-containing protein,,,PHDJFC_00202
group_4499,,hypothetical protein,,,PHDJFC_00187
group_4498,,hypothetical protein,,,PHDJFC_00175
group_4497,,Toxin-antitoxin system antitoxin component Xre domain protein,,IGABOM_02070,
group_4496,,hypothetical protein,,IGABOM_02047,
group_4495,,hypothetical protein,,IGABOM_00409,
group_4494,,hypothetical protein,,IGABOM_00278,
group_4493,,hypothetical protein,,IGABOM_00255,
group_4489,,hypothetical protein,,,PHDJFC_02576
group_4488,,Coil containing protein,,,PHDJFC_02525
group_4487,,hypothetical protein,,,PHDJFC_02464
group_4486,,hypothetical protein,,,PHDJFC_02141
group_4485,,hypothetical protein,,,PHDJFC_01585
group_4484,,hypothetical protein,,,PHDJFC_01363
group_4483,,hypothetical protein,,,PHDJFC_01203
group_4482,,hypothetical protein,,,PHDJFC_01161
group_4481,,hypothetical protein,,,PHDJFC_01047
group_4480,,hypothetical protein,,,PHDJFC_00808
group_4479,,hypothetical protein,,,PHDJFC_00807
group_4478,,hypothetical protein,,,PHDJFC_00709
group_4477,,Major facilitator superfamily (MFS) profile domain-containing protein,,,PHDJFC_00572
group_4476,,hypothetical protein,,IGABOM_00566,
group_4475,,hypothetical protein,JLGHJK_03405,,
group_4472,,HTH cro/C1-type domain-containing protein,JLGHJK_01885,,
group_4471,,hypothetical protein,,,PHDJFC_02114
group_4470,,DUF378 domain-containing protein,,,PHDJFC_00327
group_4469,,hypothetical protein,,IGABOM_01417,
group_4468,,Antirepressor,,IGABOM_00408,
group_4467,,hypothetical protein,,IGABOM_00029,
group_4466,,Aspartyl-phosphate phosphatase Spo0E family protein,JLGHJK_03548,,
group_4465,,hypothetical protein,JLGHJK_02497,,
group_4464,,Phage protein,JLGHJK_02482,,
group_4463,,hypothetical protein,JLGHJK_02458,,
group_4462,,hypothetical protein,JLGHJK_01160,,
group_4460,,hypothetical protein,,,PHDJFC_02677
group_4459,,hypothetical protein,,,PHDJFC_02569
group_4458,,hypothetical protein,,,PHDJFC_01207
group_4457,,hypothetical protein,,,PHDJFC_00552
group_4456,,Late competence protein ComGE,,,PHDJFC_00454
group_4455,,Transposase,,IGABOM_02685,
group_4454,,hypothetical protein,JLGHJK_02863,,
group_4452,,hypothetical protein,JLGHJK_02444,,
group_4450,,hypothetical protein,,,PHDJFC_02659
group_4449,,hypothetical protein,,,PHDJFC_02643
group_4448,,hypothetical protein,,,PHDJFC_02007
group_4447,,hypothetical protein,,,PHDJFC_01891
group_4446,,Integral membrane protein,,,PHDJFC_01815
group_4445,,hypothetical protein,,,PHDJFC_00975
group_4444,,hypothetical protein,,,PHDJFC_00779
group_4443,,hypothetical protein,,,PHDJFC_00287
group_4442,,Immunity protein,,IGABOM_02654,
group_4441,,hypothetical protein,,IGABOM_02037,
group_4440,,hypothetical protein,,IGABOM_00437,
group_4439,,hypothetical protein,,IGABOM_00033,
group_4438,,hypothetical protein,JLGHJK_03551,,
group_4437,,Hypervirulence associated protein TUDOR domain-containing protein,JLGHJK_03401,,
group_4436,,HTH cro/C1-type domain-containing protein,JLGHJK_02502,,
group_4434,,hypothetical protein,JLGHJK_00853,,
group_4433,,hypothetical protein,,,PHDJFC_02895
group_4432,,DNA-directed RNA polymerase subunit epsilon,,,PHDJFC_02528
group_4431,,hypothetical protein,,,PHDJFC_02312
group_4430,,Holin,,,PHDJFC_01454
group_4429,,hypothetical protein,,,PHDJFC_01109
